number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
88,0.5026073040825508,0.4191280301783064,2025-01-07 19:54:46.167003,2025-01-07 19:56:44.820993,0 days 00:01:58.653990,64,0.2,0.09641140313715796,0.00012561538302423623,1,800,COMPLETE
89,0.3028805332704916,0.5207275021007114,2025-01-07 19:56:44.827619,2025-01-07 19:57:32.609199,0 days 00:00:47.781580,32,0.45,0.21706604958273476,0.00025786689346368876,3,1200,COMPLETE
90,0.49171201014188026,0.43137563941990587,2025-01-07 19:57:32.619680,2025-01-07 20:00:48.034408,0 days 00:03:15.414728,16,0.0,0.19270157691174714,0.00041560426008335934,3,500,COMPLETE
91,0.507302647623985,0.4176168068313763,2025-01-07 20:00:48.035296,2025-01-07 20:03:06.429737,0 days 00:02:18.394441,32,0.05,0.13079601447763148,0.00017218085936420108,3,1000,COMPLETE
92,0.4976399779432426,0.4246597199775861,2025-01-07 20:03:06.430736,2025-01-07 20:05:24.135591,0 days 00:02:17.704855,32,0.0,0.26313269639880515,0.0004680627389126634,3,1000,COMPLETE
93,0.47746603159353623,0.43436657615067353,2025-01-07 20:05:24.151083,2025-01-07 20:06:23.785725,0 days 00:00:59.634642,32,0.35000000000000003,0.02026100410456566,0.0006216995385781354,1,900,COMPLETE
94,0.47773468832910576,0.43134569060488265,2025-01-07 20:06:23.787533,2025-01-07 20:07:08.057129,0 days 00:00:44.269596,128,0.0,3.597627285364252e-05,0.0003490641466609178,3,1100,COMPLETE
95,0.2765256146869658,0.9340080179926249,2025-01-07 20:07:08.058226,2025-01-07 20:08:00.075285,0 days 00:00:52.017059,32,0.4,0.32171376356320674,0.0007072543486344365,3,1500,COMPLETE
96,0.505970065645099,0.4187282655555342,2025-01-07 20:08:00.076386,2025-01-07 20:09:54.908637,0 days 00:01:54.832251,64,0.05,0.1651299502135785,0.00013176327227670055,2,600,COMPLETE
97,0.5076800408313004,0.41789174234271825,2025-01-07 20:09:54.917472,2025-01-07 20:11:44.103325,0 days 00:01:49.185853,32,0.05,0.07640519493759593,0.00010669764203669681,3,1400,COMPLETE
98,0.393103467700468,0.5124181104508042,2025-01-07 20:11:44.104343,2025-01-07 20:12:53.087210,0 days 00:01:08.982867,16,0.25,0.06086803512366876,0.00037594387079642873,3,800,COMPLETE
99,0.2540112871385147,0.6007268391130213,2025-01-07 20:12:53.088233,2025-01-07 20:13:35.530877,0 days 00:00:42.442644,32,0.5,0.11637151772156092,0.0004917471844672268,2,2000,COMPLETE
