number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
90,0.23619016910472976,0.5242855548858643,2024-12-19 06:53:14.877155,2024-12-19 07:00:03.096744,0 days 00:06:48.219589,False,mean,32,1,0.15000000000000002,0.4,500,800,0.000510647600733229,3,6,COMPLETE
91,0.5291888144562064,0.29641851782798767,2024-12-19 07:00:03.100236,2024-12-19 07:10:47.505613,0 days 00:10:44.405377,True,norm,128,2,0.2,0.15000000000000002,500,1800,0.0005938564883871442,2,4,COMPLETE
92,0.3836014942104988,0.3507080078125,2024-12-19 07:10:47.507086,2024-12-19 07:18:08.395593,0 days 00:07:20.888507,True,norm,64,2,0.2,0.15000000000000002,500,1800,0.0005769293125559063,2,4,COMPLETE
93,0.29706397280927876,0.3891512155532837,2024-12-19 07:18:08.426505,2024-12-19 07:26:12.652550,0 days 00:08:04.226045,True,sum,128,2,0.30000000000000004,0.45,100,600,0.0004897380584963715,3,4,COMPLETE
94,0.31172921481474053,0.3508512079715729,2024-12-19 07:26:12.654076,2024-12-19 07:32:37.319896,0 days 00:06:24.665820,True,mean,16,2,0.05,0.1,500,700,0.0004184582652537622,2,5,COMPLETE
95,0.14337389674573692,0.40971484780311584,2024-12-19 07:32:37.323863,2024-12-19 07:40:02.058556,0 days 00:07:24.734693,True,norm,32,2,0.25,0.05,800,1300,0.0004667949340286148,4,7,COMPLETE
96,0.3005892462308773,0.3857927620410919,2024-12-19 07:40:02.062971,2024-12-19 07:48:06.738547,0 days 00:08:04.675576,False,norm,64,2,0.30000000000000004,0.15000000000000002,600,1600,0.0007050707199366144,3,9,COMPLETE
97,0.41650866206127557,0.3044399619102478,2024-12-19 07:48:06.751086,2024-12-19 07:55:22.962952,0 days 00:07:16.211866,True,mean,64,1,0.0,0.0,400,500,0.0006269480542638624,4,4,COMPLETE
98,0.32530346072099287,0.3531801104545593,2024-12-19 07:55:22.976256,2024-12-19 08:02:50.524275,0 days 00:07:27.548019,True,norm,128,2,0.2,0.1,300,1900,0.00039554326091122165,2,6,COMPLETE
99,0.11655055433474522,0.3791294991970062,2024-12-19 08:02:50.552506,2024-12-19 08:09:38.343518,0 days 00:06:47.791012,False,sum,32,1,0.25,0.35000000000000003,700,300,0.0005673123953668085,5,3,COMPLETE
