number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
62,0.43610429763793945,0.36210259795188904,2025-01-20 01:51:09.967698,2025-01-20 02:08:05.850481,0 days 00:16:55.882783,5,0.0,32,0.45,153,0.30000000000000004,119,0,0.0004772012970398613,1,1000,4,COMPLETE
63,0.42353183031082153,0.3676489293575287,2025-01-20 02:08:05.851395,2025-01-20 02:17:02.078083,0 days 00:08:56.226688,5,0.0,32,0.45,161,0.45,118,0,0.00048391387217368065,2,400,2,COMPLETE
64,0.42181792855262756,0.366330087184906,2025-01-20 02:17:02.078922,2025-01-20 02:25:29.818306,0 days 00:08:27.739384,2,0.1,32,0.15000000000000002,155,0.30000000000000004,96,1,0.0002462123898904534,1,700,2,COMPLETE
65,0.1431141197681427,0.48119020462036133,2025-01-20 02:25:29.819067,2025-01-20 02:29:06.399427,0 days 00:03:36.580360,2,0.35000000000000003,32,0.5,135,0.5,76,0,0.0063834619485445485,3,1000,2,COMPLETE
66,0.4238976538181305,0.3661910891532898,2025-01-20 02:29:06.400401,2025-01-20 02:42:51.000265,0 days 00:13:44.599864,3,0.30000000000000004,128,0.5,148,0.25,125,0,0.0003409631442812204,1,1200,4,COMPLETE
67,0.06273983418941498,0.5111576914787292,2025-01-20 02:42:51.001192,2025-01-20 02:49:51.242286,0 days 00:07:00.241094,2,0.05,16,0.45,231,0.0,113,0,0.008164950268891576,1,1400,2,COMPLETE
68,0.4148111343383789,0.3654206395149231,2025-01-20 02:49:51.243346,2025-01-20 02:58:40.362939,0 days 00:08:49.119593,2,0.15000000000000002,64,0.25,203,0.25,119,1,0.00030013788110447114,2,700,2,COMPLETE
69,0.41337066888809204,0.3722023367881775,2025-01-20 02:58:40.363690,2025-01-20 03:14:03.439933,0 days 00:15:23.076243,5,0.2,32,0.5,283,0.05,106,0,0.00016374313729162712,1,1300,2,COMPLETE
70,0.4254094958305359,0.3616083562374115,2025-01-20 03:14:03.440769,2025-01-20 03:37:55.911118,0 days 00:23:52.470349,2,0.0,32,0.30000000000000004,299,0.15000000000000002,54,0,0.00020264304279710312,3,800,5,COMPLETE
71,0.44169268012046814,0.36199647188186646,2025-01-20 03:37:55.912092,2025-01-20 03:47:47.761814,0 days 00:09:51.849722,2,0.5,32,0.1,260,0.35000000000000003,122,0,0.00030436861721300397,1,2000,2,COMPLETE
