number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
63,0.505880194424952,0.36311660909633653,2024-12-11 14:08:21.768734,2024-12-11 14:09:10.692966,0 days 00:00:48.924232,0.8201334915227294,0.7308204546655092,0.030651501696518202,21,18,1772,0.1239287948299129,0.3075416637647226,0.7832954940798829,COMPLETE
64,0.426806212515321,0.39821333672677983,2024-12-11 14:09:10.693674,2024-12-11 14:09:28.910261,0 days 00:00:18.216587,0.7719139130520885,0.8037239050144421,0.34530046015705207,20,25,785,0.7945699310434523,0.30207306252450034,0.5764254457928863,COMPLETE
65,0.376616157745318,0.4158384233956804,2024-12-11 14:09:28.910948,2024-12-11 14:10:07.784598,0 days 00:00:38.873650,0.9343030416075102,2.7398139876371363,0.5962793114258433,6,18,1985,0.11339391845070851,0.5727289021120596,0.7230372759222372,COMPLETE
66,0.5144328348609616,0.35867614318977964,2024-12-11 14:10:07.785283,2024-12-11 14:10:23.544422,0 days 00:00:15.759139,0.9516815523402135,0.6648240157961338,0.02785056951565361,3,29,381,0.4848082965041181,0.38212841650617263,0.7419883752783639,COMPLETE
67,0.33790743606737444,0.46796319643070017,2024-12-11 14:10:23.545109,2024-12-11 14:10:33.714165,0 days 00:00:10.169056,0.9510617958072767,0.7354621933689984,0.833701358152164,2,23,406,0.2425369896229585,0.016990064880949465,0.7506216803181744,COMPLETE
68,0.46569492597512163,0.37749939914375263,2024-12-11 14:10:33.714849,2024-12-11 14:11:10.263209,0 days 00:00:36.548360,0.8081914829195568,1.1603016151770797,0.18553893800490204,11,16,1779,0.014291694924137455,0.39001225771979525,0.8034648318667234,COMPLETE
69,0.492503599985306,0.3672922539453555,2024-12-11 14:11:10.263959,2024-12-11 14:11:46.998844,0 days 00:00:36.734885,0.9864572539721269,0.47307220256307253,0.09665406993493816,21,42,1470,0.6762900789743747,0.16016947402193793,0.7732858298851073,COMPLETE
70,0.5230424358313461,0.35506278234901256,2024-12-11 14:11:46.999592,2024-12-11 14:12:35.304598,0 days 00:00:48.305006,0.9572728260808795,0.6211076302336858,0.032089930193584255,12,29,1534,0.32397520878136177,0.29913017727391444,0.6689696063211809,COMPLETE
71,0.5176999551301522,0.3586230297593121,2024-12-11 14:12:35.305314,2024-12-11 14:13:40.402353,0 days 00:01:05.097039,0.9115185984429763,0.3846957459632021,0.020300564872436533,14,29,1561,0.468121276532769,0.7111296408250133,0.7017737461634045,COMPLETE
72,0.5019605781116214,0.3720001520424313,2024-12-11 14:13:40.403069,2024-12-11 14:16:38.222863,0 days 00:02:57.819794,0.9131146547701382,0.33344285759362574,0.0022086296537049167,14,29,1568,0.4555052836327895,2.494107475198242,0.6681300959621056,COMPLETE
73,0.39849715107121364,0.4073175301876195,2024-12-11 14:16:38.223628,2024-12-11 14:17:08.461968,0 days 00:00:30.238340,0.8405774779275296,0.5874099322705428,0.4094371226578112,61,33,1413,0.3547861892790546,0.7075549937400342,0.7039154245969993,COMPLETE
74,0.44581452308485126,0.3881645233402407,2024-12-11 14:17:08.462665,2024-12-11 14:17:44.827750,0 days 00:00:36.365085,0.9576051317645453,0.11373199956590829,0.24690325722844575,74,30,1515,0.5759644619476897,0.5308299004048604,0.7389847395499521,COMPLETE
75,0.49488715886367896,0.3694836229928739,2024-12-11 14:17:44.828557,2024-12-11 14:18:18.429275,0 days 00:00:33.600718,0.9316252083167841,0.4298713928143449,0.131792992516818,14,32,1348,0.7144946331136061,0.6462206109728541,0.6933151501085225,COMPLETE
76,0.4387884729869538,0.39309855086614054,2024-12-11 14:18:18.429985,2024-12-11 14:18:55.409076,0 days 00:00:36.979091,0.8751221324577165,0.2893355137491826,0.3008576076151006,12,28,1652,0.278255103409499,0.3960498771768847,0.6748740249845533,COMPLETE
77,0.38139548970831016,0.42265258696401686,2024-12-11 14:18:55.409801,2024-12-11 14:19:20.963772,0 days 00:00:25.553971,0.7260153868049986,0.5419045763435787,0.6986117341135833,9,37,1247,0.49911096498607044,0.8417616996771421,0.983745840248148,COMPLETE
78,0.4783877204122161,0.37226759696841283,2024-12-11 14:19:20.964499,2024-12-11 14:19:57.839310,0 days 00:00:36.874811,0.9427755540450392,0.6818548912800518,0.1573355336154438,70,34,1709,1.2367269987257803,2.1844953441949793,0.9578712130176902,COMPLETE
79,0.36887265909000955,0.4437139138402624,2024-12-11 14:19:57.840059,2024-12-11 14:20:29.328796,0 days 00:00:31.488737,0.8900073411644475,0.6210358720771562,0.4848796413108554,7,40,1446,0.415743562750646,0.9293731874055535,0.563612773842743,COMPLETE
80,0.5033942357053707,0.35950070954507446,2024-12-11 14:20:29.329548,2024-12-11 14:21:02.354615,0 days 00:00:33.025067,0.853327086654205,0.39803804829747946,0.09073503782198289,18,26,1131,1.1446864723664452,2.86889629460636,0.5191288705730769,COMPLETE
81,0.43370025333798434,0.393053246426886,2024-12-11 14:21:02.355376,2024-12-11 14:21:33.790424,0 days 00:00:31.435048,0.8604482277157426,2.492761299682805,0.43893962805684256,56,30,1557,0.20547483175745654,2.9043675916960097,0.6496873161122334,COMPLETE
82,0.49128498858979536,0.37276084361945766,2024-12-11 14:21:33.791401,2024-12-11 14:22:06.745218,0 days 00:00:32.953817,0.5333871863554352,1.830949026143757,0.09584153696617217,18,26,1602,1.917266427311288,1.2492399523956936,0.7214310630565055,COMPLETE
83,0.4809340429824943,0.38115645260733666,2024-12-11 14:22:06.745954,2024-12-11 14:22:21.742859,0 days 00:00:14.996905,0.9551457392848232,2.059989078098112,0.05226890114167308,12,31,496,2.518331590514922,0.4638556542186373,0.9202150913027466,COMPLETE
84,0.5201315375741677,0.35627657214925434,2024-12-11 14:22:21.743617,2024-12-11 14:23:22.717907,0 days 00:01:00.974290,0.6792079782585456,0.37180026491553914,0.021685414482240133,25,28,1381,1.5606416343987133,1.027411329552554,0.5178528029930807,COMPLETE
85,0.4980224334996386,0.3664678223290106,2024-12-11 14:23:22.718628,2024-12-11 14:23:41.711619,0 days 00:00:18.992991,0.7640797900768566,1.3788051645741541,0.07291551369138598,24,27,684,1.1084078540032856,2.0837098074578257,0.515600766876834,COMPLETE
86,0.521410801047893,0.3559895298437612,2024-12-11 14:23:41.712431,2024-12-11 14:25:05.273761,0 days 00:01:23.561330,0.9172706491633934,0.24050382631305034,0.014051347806320776,59,28,1178,1.618476639625551,1.002885001815379,0.6113946150102182,COMPLETE
87,0.4769224405740518,0.37342181401739716,2024-12-11 14:25:05.274614,2024-12-11 14:25:36.567934,0 days 00:00:31.293320,0.9175339428084224,0.5066106683385012,0.21399706105513058,26,28,1374,1.6194441722853568,0.09427019942223464,0.6270178292252486,COMPLETE
88,0.48999871777764226,0.36801581531279465,2024-12-11 14:25:36.568653,2024-12-11 14:26:08.952921,0 days 00:00:32.384268,0.6876130891758141,1.2264700429355528,0.11604392924545798,67,34,1486,0.3009054889900493,1.9298779022359704,0.6080668400583016,COMPLETE
89,0.5045439094610336,0.36683825278239335,2024-12-11 14:26:08.953595,2024-12-11 14:26:43.434419,0 days 00:00:34.480824,0.9040095273264112,0.26472914463442176,0.016508020734989273,59,29,311,2.1792053911130287,0.26969245172675443,0.6899404117546105,COMPLETE
90,0.37134413985347187,0.41498058750488226,2024-12-11 14:26:43.435068,2024-12-11 14:27:12.467146,0 days 00:00:29.032078,0.6337578596134084,1.5692744452497946,0.5007766103358996,50,7,1424,0.5692812354289978,0.37016825948934307,0.6658447587266128,COMPLETE
91,0.4345279978721048,0.38814947610719397,2024-12-11 14:27:12.467713,2024-12-11 14:27:30.209761,0 days 00:00:17.742048,0.7406106033167539,1.3131568622398597,0.3707068916896819,16,31,797,0.8972665833267995,1.7691820538381413,0.9411789213327528,COMPLETE
92,0.4689479178789752,0.3769857693204677,2024-12-11 14:27:30.210236,2024-12-11 14:27:59.759383,0 days 00:00:29.549147,0.9410898899115692,0.41544557861775216,0.18461996531247993,14,47,1109,1.8200596663677964,1.0169721918615093,0.5001825757193462,COMPLETE
93,0.49659735765722396,0.36866174940256224,2024-12-11 14:27:59.759926,2024-12-11 14:28:28.955166,0 days 00:00:29.195240,0.9697197963233172,0.6700351575457301,0.08123066820380596,19,36,1167,1.3301533684719506,0.10840076918181768,0.9973573537161715,COMPLETE
94,0.45421258915285057,0.38312125041990736,2024-12-11 14:28:28.955790,2024-12-11 14:28:35.142491,0 days 00:00:06.186701,0.9866821159233584,0.5902653123046078,0.3226687792043365,4,25,172,1.408045457115424,1.5301510018660884,0.8359740031759586,COMPLETE
95,0.4988096754087996,0.37226765658508604,2024-12-11 14:28:35.143049,2024-12-11 14:29:17.102224,0 days 00:00:41.959175,0.592866893864889,1.4371213337798416,0.020973944852496554,9,1,1537,1.5241278199460055,0.2260810438099785,0.7122153499377285,COMPLETE
96,0.4998244067215354,0.36481408865687237,2024-12-11 14:29:17.102922,2024-12-11 14:29:52.376946,0 days 00:00:35.274024,0.5557436629157781,0.8053837029049893,0.16082879948638784,53,28,1669,0.09498776724499458,2.307354909409668,0.6750302594085709,COMPLETE
97,0.43605114362985153,0.3946279428607014,2024-12-11 14:29:52.377604,2024-12-11 14:30:26.960574,0 days 00:00:34.582970,0.6640162471741982,0.36798529492923915,0.28583697029568095,11,33,1589,0.37699168023261387,1.3352122350430307,0.6304293933722379,COMPLETE
98,0.5111558458564434,0.3600144555079528,2024-12-11 14:30:26.961233,2024-12-11 14:30:48.434651,0 days 00:00:21.473418,0.9573960799375887,0.21228843480231963,0.05197010852869938,16,43,230,1.5023570314482604,0.32825966221895647,0.5883743982857064,COMPLETE
99,0.44940033876511115,0.3851899097774376,2024-12-11 14:30:48.435331,2024-12-11 14:31:23.745513,0 days 00:00:35.310182,0.9312557363499576,1.7383836189897355,0.3269117633834139,7,26,1717,0.7576319584401301,2.6901411873478507,0.6575684296274087,COMPLETE
